latitude,longitude
6,68
6,70
6,72
6,74
6,76
6,78
6,80
6,82
6,84
6,86
6,88
6,90
6,92
6,94
6,96
8,68
8,70
8,72
8,74
8,76
8,78
8,80
8,82
8,84
8,86
8,88
8,90
8,92
8,94
8,96
10,68
10,70
10,72
10,74
10,76
10,78
10,80
10,82
10,84
10,86
10,88
10,90
10,92
10,94
10,96
12,68
12,70
12,72
12,74
12,76
12,78
12,80
12,82
12,84
12,86
12,88
12,90
12,92
12,94
12,96
14,68
14,70
14,72
14,74
14,76
14,78
14,80
14,82
14,84
14,86
14,88
14,90
14,92
14,94
14,96
16,68
16,70
16,72
16,74
16,76
16,78
16,80
16,82
16,84
16,86
16,88
16,90
16,92
16,94
16,96
18,68
18,70
18,72
18,74
18,76
18,78
18,80
18,82
18,84
18,86
18,88
18,90
18,92
18,94
18,96
20,68
20,70
20,72
20,74
20,76
20,78
20,80
20,82
20,84
20,86
20,88
20,90
20,92
20,94
20,96
22,68
22,70
22,72
22,74
22,76
22,78
22,80
22,82
22,84
22,86
22,88
22,90
22,92
22,94
22,96
24,68
24,70
24,72
24,74
24,76
24,78
24,80
24,82
24,84
24,86
24,88
24,90
24,92
24,94
24,96
26,68
26,70
26,72
26,74
26,76
26,78
26,80
26,82
26,84
26,86
26,88
26,90
26,92
26,94
26,96
28,68
28,70
28,72
28,74
28,76
28,78
28,80
28,82
28,84
28,86
28,88
28,90
28,92
28,94
28,96
30,68
30,70
30,72
30,74
30,76
30,78
30,80
30,82
30,84
30,86
30,88
30,90
30,92
30,94
30,96
32,68
32,70
32,72
32,74
32,76
32,78
32,80
32,82
32,84
32,86
32,88
32,90
32,92
32,94
32,96
34,68
34,70
34,72
34,74
34,76
34,78
34,80
34,82
34,84
34,86
34,88
34,90
34,92
34,94
34,96
36,68
36,70
36,72
36,74
36,76
36,78
36,80
36,82
36,84
36,86
36,88
36,90
36,92
36,94
36,96
