city,lat,lon
Vapi,20.3735482,72.9084376
Chikhli,20.7581399,73.0598983
Kodinar,20.7971703,70.6957211
Una,20.8198898,71.0391641
Veraval,20.9101099,70.3652790
Navsari,20.9524070,72.9323831
Rajula,21.0386170,71.4438845
Mahuva,21.0914409,71.7621979
Valod,21.0488646,73.2615399
Vyara,21.1176744,73.3857702
Mangrol,21.1241507,70.1199203
Songadh,21.1702124,73.5622874
Mendarda,21.3232985,70.4425757
Visavadar,21.3417058,70.7534299
Talaja,21.3545788,72.0368814
Umarpada,21.4563995,73.4757224
Palitana,21.5236104,71.8219597
Dediapada,21.6271369,73.5898076
Netrang,21.6395746,73.3661964
Porbandar,21.6029751,69.8538067
Lathi,21.7247180,71.3899959
Sihor,21.7204940,71.9605587
Dahej,21.7093010,72.5893963
Bharuch,21.7080427,72.9956936
Chital,21.7346125,71.2004615
Dhoraji,21.7220402,70.4443401
Bhavnagar,21.7718836,72.1416449
Jam Kandoma,21.8926077,70.4972555
Amod,21.9907832,72.8706259
Karjan,22.0523055,73.1216703
Barwala,22.1518623,71.8957058
Botad,22.0467098,71.6689617
Khambhaliya,22.2176085,69.6578939
Kalavad,22.2143736,70.3834253
Dwarka,22.2424747,68.9671448
Padra,22.2412214,73.0855259
Khambhat,22.3166806,72.6243126
Ranpur,22.3598858,71.7169084
Vasad,22.4516351,73.0671647
Sayla,22.5494312,71.4820838
Limbdi,22.5660006,71.7899425
Kalol,23.2452165,72.4966223
Wankaner,22.6153934,70.9495617
Tankara,22.6562177,70.7486911
Jodiya,22.6925104,70.3054102
Nadiad,22.6895535,72.8713603
Wadhawan,22.7105520,71.6784206
Dholka,22.7266070,72.4411863
Kheda,22.8532503,72.9953586
Mahudha,22.8201982,72.9386868
Morbi,22.8003959,70.8862320
Bavla,22.8278859,72.3684741
Dahod,22.9194099,74.1342725
Juni Mangarol,22.0952121,73.4721107
Lakhtar,22.8724876,71.7763542
Kathlal,22.8985648,72.9908519
Balasinor,22.9561711,73.3370129
Dhrangadhra,22.9914292,71.4663753
Ahmedabad,23.0215374,72.5800568
Kapadvanj,23.0232402,73.0727531
Halvad,23.0182418,71.1833818
Maliya,21.1598605,70.3071313
Lunavada,23.1290668,73.6111140
Patdi,23.1909514,71.7959976
Santrampur,23.1927742,73.8959255
Bayad,23.2248593,73.2153042
