latitude,longitude,elevation_m,distance_to_river_m
6,68,,1112873.431413558
6,70,,953070.7079568518
6,72,,822369.0359017112
6,74,,718513.8764679452
6,76,,523375.01496256236
6,78,,311330.6336094616
6,80,,136922.40529176232
6,82,,137217.69875195212
6,84,,277147.87774210493
6,86,,480961.5973346227
6,88,,696400.3175819076
6,90,,750981.0735076625
6,92,,690550.8534435112
6,94,,698021.9194697731
6,96,,529222.3536620857
8,68,,983871.1736132927
8,70,,798660.7454272342
8,72,,637849.2914077429
8,74,,522059.71756385354
8,76,,407161.1854883594
8,78,,302483.1829595045
8,80,,104762.31955253842
8,82,,70940.1805872447
8,84,,248413.98449035292
8,86,,464997.4404919798
8,88,,685472.0737430536
8,90,,553894.2512721791
8,92,,468707.5314278706
8,94,,481363.5743238561
8,96,,585552.1015232194
10,68,,893069.0227423431
10,70,,683687.6329151721
10,72,,486231.952533074
10,74,,323342.66061082954
10,76,,244192.73919097995
10,78,,109997.62761109068
10,80,,64947.837413374444
10,82,,207315.60472781459
10,84,,348519.49383195926
10,86,,546889.5203255398
10,88,,579649.461015132
10,90,,386969.215618224
10,92,,250266.02298559053
10,94,,273234.739609835
10,96,,431065.6514291928
12,68,,826644.3791257859
12,70,,608400.9848285873
12,72,,395093.43120877235
12,74,,188799.19021719115
12,76,,39015.49821879565
12,78,,21818.537246541277
12,80,,35432.31318822627
12,82,,212617.33360324832
12,84,,431855.8378413506
12,86,,653398.0647741026
12,88,,529012.3901717392
12,90,,306452.5502322669
12,92,,84311.65029990747
12,94,,130169.21040941273
12,96,,349714.8456662043
14,68,,780522.6861355909
14,70,,593172.0467496174
14,72,,379816.96613527136
14,74,,171301.5500569626
14,76,,32159.769862040957
14,78,,57814.12462172504
14,80,,53908.85512401566
14,82,,216019.4636221575
14,84,,362363.6004929568
14,86,,512860.54089853837
14,88,,550394.083168896
14,90,,337518.73918355256
14,92,,155049.61804716103
14,94,,176530.96873712953
14,96,,252484.00129817938
16,68,,685646.6317278683
16,70,,482040.9212496988
16,72,,279220.385635635
16,74,,99540.569848828
16,76,,24567.756402344796
16,78,,7400.730546319154
16,80,,73101.23171024876
16,82,,48378.36387553906
16,84,,201641.6884332602
16,86,,415184.20726556797
16,88,,526785.6530023187
16,90,,474428.87511848146
16,92,,304321.1442798882
16,94,,90327.09017682965
16,96,,44904.077430562735
18,68,,644563.9326624619
18,70,,422612.9221161162
18,72,,199975.14931310184
18,74,,12898.012390537971
18,76,,66231.59813052739
18,78,,97536.09223977577
18,80,,64570.29192115841
18,82,,82636.39582971968
18,84,,197967.08661366664
18,86,,253063.61660188358
18,88,,325181.91234595707
18,90,,455877.3282490444
18,92,,324125.6375430298
18,94,,130177.48861597557
18,96,,45481.52364294163
20,68,-39.0,469620.0896539351
20,70,541.0,333013.7947291173
20,72,-39.0,158789.4317170901
20,74,540.0,1829.1592063230912
20,76,572.0,72872.33628046601
20,78,,120235.4592012786
20,80,,4165.4420762998025
20,82,,29849.289968360867
20,84,,74523.70508696047
20,86,,24491.67097118022
20,88,,144182.02048065915
20,90,,245976.84636067942
20,92,,135161.84163329017
