lat,lon,elevation
19.8735482,72.4084376,0
19.8735482,72.6584376,0
19.8735482,72.9084376,0
19.8735482,73.1584376,0
20.1235482,72.4084376,-33
20.1235482,72.6584376,-9
20.1235482,72.9084376,56
20.1235482,73.1584376,139
20.3735482,72.4084376,-24
20.3735482,72.6584376,-15
20.3735482,72.9084376,28
20.3735482,73.1584376,142
20.6235482,72.4084376,-18
20.6235482,72.6584376,-13
20.6235482,72.9084376,4
20.6235482,73.1584376,70
20.2581399,72.5598983,-21
20.2581399,72.8098983,15
20.2581399,73.0598983,131
20.2581399,73.3098983,358
20.5081399,72.5598983,-17
20.5081399,72.8098983,-7
20.5081399,73.0598983,39
20.5081399,73.3098983,463
20.7581399,72.5598983,-13
20.7581399,72.8098983,-2
20.7581399,73.0598983,29
20.7581399,73.3098983,99
21.0081399,72.5598983,-10
21.0081399,72.8098983,6
21.0081399,73.0598983,20
21.0081399,73.3098983,68
20.2971703,70.1957211,0
20.2971703,70.4457211,0
20.2971703,70.6957211,0
20.2971703,70.9457211,0
20.5471703,70.1957211,0
20.5471703,70.4457211,0
20.5471703,70.6957211,0
20.5471703,70.9457211,0
20.7971703,70.1957211,0
20.7971703,70.4457211,0
20.7971703,70.6957211,0
20.7971703,70.9457211,0
21.0471703,70.1957211,0
21.0471703,70.4457211,0
21.0471703,70.6957211,0
21.0471703,70.9457211,0
20.3198898,70.5391641,0
20.3198898,70.7891641,0
20.3198898,71.0391641,0
20.3198898,71.2891641,0
20.5698898,70.5391641,0
20.5698898,70.7891641,0
20.5698898,71.0391641,0
20.5698898,71.2891641,0
20.8198898,70.5391641,0
20.8198898,70.7891641,0
20.8198898,71.0391641,0
20.8198898,71.2891641,0
21.0698898,70.5391641,0
21.0698898,70.7891641,0
21.0698898,71.0391641,0
21.0698898,71.2891641,0
20.4101099,69.865279,0
20.4101099,70.115279,0
20.4101099,70.365279,0
20.4101099,70.615279,0
20.6601099,69.865279,0
20.6601099,70.115279,0
20.6601099,70.365279,0
20.6601099,70.615279,0
20.9101099,69.865279,0
20.9101099,70.115279,0
20.9101099,70.365279,0
20.9101099,70.615279,0
21.1601099,69.865279,0
21.1601099,70.115279,0
21.1601099,70.365279,0
21.1601099,70.615279,0
20.452407,72.4323831,-22
20.452407,72.6823831,-13
20.452407,72.9323831,22
20.452407,73.1823831,68
20.702407,72.4323831,-16
20.702407,72.6823831,-9
20.702407,72.9323831,13
