river,station,lat,lon,danger,warning
Qarqan,Qarqan,36.50470612186912,87.28212890625002,20,18
Zi,Zi,33.27716705936912,95.59853515625002,20,18
Kaladan,Kaladan,23.71930573124412,93.40585937500003,20,18
Mytitha,Mytitha,21.93988678593162,93.63818359375,20,18
Son,Son,22.705926824994123,82.04736328125,20,18
Betwa,Betwa,23.240350653119123,77.34619140625,20,18
Parbati,Parbati,22.914911199994123,76.65566406250002,20,18
Indravati,Indravati,19.48053619999412,82.95986328125002,20,18
Balak,Balak,24.00751373905662,90.97646484375002,20,18
Gandak,Gandak,29.200213934369117,83.963134765625,20,18
Beas,Beas,31.96454498905662,75.934814453125,20,18
Qumar,Qumar,35.219354559369116,92.06748046875003,20,18
Za’gya,Za’gya,33.07081940311912,91.14785156250002,20,18
Yurungkax,Yurungkax,35.46998932499412,81.50693359375003,20,18
Dam,Dam,32.63971588749412,94.31601562500003,20,18
Wainganga,Wainganga,22.01386139530662,79.5322265625,20,18
Banas,Banas,24.867206121869117,73.54208984375,20,18
Tel,Tel,19.745624090619117,82.0634765625,20,18
Palar,Palar,13.24396393436912,77.90371093750002,20,18
Kolidam,Kolidam,11.29645416874412,79.67626953125,20,18
Ghäghara,Ghäghara,30.55206940311912,80.92324218750002,20,18
Chindwin,Chindwin,25.63190338749412,96.90341796875003,20,18
Sapt,Sapt,28.55158112186912,85.754638671875,20,18
Manas,Manas,28.291864324994116,91.77656250000001,20,18
Bhima,Bhima,19.005389715619117,73.69404296875001,20,18
Tista,Tista,27.695086981244117,88.591796875,20,18
Sittong,Sittong,20.21820709843162,95.786865234375,20,18
Mahi,Mahi,22.72980377811912,74.973388671875,20,18
Tapi,Tapi,21.700799871869123,78.13076171875002,20,18
Sankh,Sankh,23.19806549686912,83.90341796875003,20,18
Penner,Penner,13.40680573124412,77.57275390625,20,18
Brahmani,Brahmani,22.26520416874412,84.66806640625003,20,18
Yarkant,Yarkant,35.52069733280662,77.52490234375,20,18
Mahäna Nadï,Mahäna Nadï,21.520135809369123,83.85761718750001,20,18
Krishna,Krishna,16.579364324994117,79.31337890625002,20,18
Yamuna,Yamuna,30.915155340619116,78.33994140625003,20,18
Narmada,Narmada,22.75372955936912,81.57421875,20,18
Nu,Nu,31.94306061405662,91.518310546875,20,18
Nu,Nu,30.44794342655662,96.59560546875002,20,18
Indus,Indus,34.085565496869116,72.70703125,20,18
Shiquan,Shiquan,31.449579168744116,81.63974609375003,20,18
Maquan,Maquan,30.41144440311912,82.40048828125003,20,18
Za,Za,33.15582916874412,94.083984375,20,18
Lancang,Lancang,31.96552155155662,96.94130859375002,20,18
Yarlung,Yarlung,29.15155670780662,87.66015625,20,18
Dihang,Dihang,28.002948309369117,95.396484375,20,18
Tuotuo,Tuotuo,34.300409246869116,90.794677734375,20,18
Tongtian,Tongtian,34.10028717655662,92.99277343750003,20,18
Vishwamitri,Vadodara,22.2973142,73.1942567,50.0,15.0
